nazev;proces;kategorie;ulice;cp;psc;kontakt;;nazev;proces;kategorie;ulice;cp;psc;kontakt
Jedlý park Sedláčkova;kurzy;vzdělávání;Líšeň;;62800;https://www.facebook.com/jedly.park/;;Jedlý park Sedláčkova;kurzy;vzdělávání;Líšeň;;62800;https://www.facebook.com/jedly.park/
Komunitní zahrada pod ořechem;kurzy;vzdělávání;Židenice;;63600;https://www.facebook.com/zahradapodorechem/;;Komunitní zahrada pod ořechem;kurzy;vzdělávání;Židenice;;63600;https://www.facebook.com/zahradapodorechem/
Kvítí z lesa kurzy;kurzy;vzdělávání;Staré Brno;;65937;https://www.facebook.com/kvitizlesa/;;Kvítí z lesa kurzy;kurzy;vzdělávání;Staré Brno;;65937;https://www.facebook.com/kvitizlesa/
Kvítka v bytě + keramika;kurzy;vzdělávání;Údolní;;60200;https://kvitkavbyte.cz/;;Kvítka v bytě + keramika;kurzy;vzdělávání;Údolní;;60200;https://kvitkavbyte.cz/
Otevřená zahrada;kurzy;vzdělávání;Údolní;;60200;www.otevrenazahrada.cz;;Otevřená zahrada;kurzy;vzdělávání;Údolní;;60200;www.otevrenazahrada.cz
Brno šije;kurzy;vzdělávání;476/39;;60200;http://www.brnosije.cz/;;Brno šije;kurzy;vzdělávání;476/39;;60200;http://www.brnosije.cz/
INDUSTRA CUT&SEW;kurzy;vzdělávání;Masná;27/9;60200;https://www.facebook.com/pg/industra.cutandsew/about/?ref=page_internal;;INDUSTRA CUT&SEW;kurzy;vzdělávání;Masná;27/9;60200;https://www.facebook.com/pg/industra.cutandsew/about/?ref=page_internal
Krejčovna;kurzy;vzdělávání;Juliánov;3812/3;63600;https://www.krejcovna.cz/sluzby/kurzy-siti/;;Krejčovna;kurzy;vzdělávání;Juliánov;3812/3;63600;https://www.krejcovna.cz/sluzby/kurzy-siti/
Marie Javorská - kurzy šití;kurzy;vzdělávání;Zábrdovice;455/7;60200;http://www.modedama.cz/kurzy-siti/krejcovstvi-marie-javorska/;;Marie Javorská - kurzy šití;kurzy;vzdělávání;Zábrdovice;455/7;60200;http://www.modedama.cz/kurzy-siti/krejcovstvi-marie-javorska/
Rebelion ateliér - kurzy šití;kurzy;vzdělávání;Masarykova;;65937;https://www.rebelionatelierbrno.cz/;;Rebelion ateliér - kurzy šití;kurzy;vzdělávání;Masarykova;;65937;https://www.rebelionatelierbrno.cz/
Hnutí Brontosaurus;kurzy;vzdělávání;Zábrdovice;306/10;60200;https://www.brontosaurus.cz/;;Hnutí Brontosaurus;kurzy;vzdělávání;Zábrdovice;306/10;60200;https://www.brontosaurus.cz/
Impact Hub;kurzy;vzdělávání;Trnitá;508/7;60200;https://www.hubbrno.cz/;;Impact Hub;kurzy;vzdělávání;Trnitá;508/7;60200;https://www.hubbrno.cz/
Lipka;kurzy;vzdělávání;Kamenná kolonie;194/20;63900;https://www.lipka.cz/kamenna;;Lipka;kurzy;vzdělávání;Kamenná kolonie;194/20;63900;https://www.lipka.cz/kamenna
Mladí Info;kurzy;vzdělávání;Kapucínské náměstí;;65937;https://www.mladiinfo.cz/;;Mladí Info;kurzy;vzdělávání;Kapucínské náměstí;;65937;https://www.mladiinfo.cz/
Nadace Partnerství;kurzy;vzdělávání;Údolní;567/33;60200;https://www.nadacepartnerstvi.cz/;;Nadace Partnerství;kurzy;vzdělávání;Údolní;567/33;60200;https://www.nadacepartnerstvi.cz/
Nadace Veronica;kurzy;vzdělávání;Panská;;60200;https://nadace.veronica.cz/;;Nadace Veronica;kurzy;vzdělávání;Panská;;60200;https://nadace.veronica.cz/
NaZemi;kurzy;vzdělávání;Veveří;299/42;60200;https://www.nazemi.cz/cs;;NaZemi;kurzy;vzdělávání;Veveří;299/42;60200;https://www.nazemi.cz/cs
Pábení;kurzy;vzdělávání;Žabovřesky;194/30;61600;https://www.pabeni.cz/;;Pábení;kurzy;vzdělávání;Žabovřesky;194/30;61600;https://www.pabeni.cz/
Prales dětem;kurzy;vzdělávání;Šámalova;748/107;61500;https://www.facebook.com/PralesDetem;;Prales dětem;kurzy;vzdělávání;Šámalova;748/107;61500;https://www.facebook.com/PralesDetem
Rezekvítek;kurzy;vzdělávání;Štolcova;465/14;61800;http://www.rezekvitek.cz/;;Rezekvítek;kurzy;vzdělávání;Štolcova;465/14;61800;http://www.rezekvitek.cz/
Skautský institut v Brně;kurzy;vzdělávání;Moravské náměstí;753/12;60200;https://www.skautskyinstitut.cz/su-v-brne/;;Skautský institut v Brně;kurzy;vzdělávání;Moravské náměstí;753/12;60200;https://www.skautskyinstitut.cz/su-v-brne/
Středisko volného času Lužánky;kurzy;vzdělávání;Lidická;1880/50;60200;https://www.luzanky.cz/;;Středisko volného času Lužánky;kurzy;vzdělávání;Lidická;1880/50;60200;https://www.luzanky.cz/
Střední škola umění a designu a Vyšší odborná škola Brno;kurzy;vzdělávání;Husova;;66226;https://www.ssudbrno.cz/cs/stredni-skola/obory/;;Střední škola umění a designu a Vyšší odborná škola Brno;kurzy;vzdělávání;Husova;;66226;https://www.ssudbrno.cz/cs/stredni-skola/obory/
Vyšší odborná škola textilní;kurzy;vzdělávání;Francouzská;427/101;60200;https://www.ssudbrno.cz/cs/vos-skola/obory/;;Vyšší odborná škola textilní;kurzy;vzdělávání;Francouzská;427/101;60200;https://www.ssudbrno.cz/cs/vos-skola/obory/
YMCA;kurzy;vzdělávání;Kounicova;944/3;60200;http://www.ymcabrno.cz/;;YMCA;kurzy;vzdělávání;Kounicova;944/3;60200;http://www.ymcabrno.cz/
Envimagazin.cz;kurzy;vzdělávání;Lidická;700/19;60200;https://envimagazin.cz/;;Envimagazin.cz;kurzy;vzdělávání;Lidická;700/19;60200;https://envimagazin.cz/
Bajkazyl;kurzy;sdílená dílna;Úzká;;65670;http://www.bajkazylbrno.cz/;;Bajkazyl;kurzy;sdílená dílna;Úzká;;65670;http://www.bajkazylbrno.cz/
BikeKitchen;kurzy;sdílená dílna;Trnitá;335/2;60200;https://bikekitchenbrno.cz/;;BikeKitchen;kurzy;sdílená dílna;Trnitá;335/2;60200;https://bikekitchenbrno.cz/
Fablab Brno;kurzy;sdílená dílna;Medlánky;;61600;https://www.fablabbrno.cz/;;Fablab Brno;kurzy;sdílená dílna;Medlánky;;61600;https://www.fablabbrno.cz/
Robotika Brno;kurzy;sdílená dílna;Sokolská;366/1;60200;https://robotikabrno.cz/;;Robotika Brno;kurzy;sdílená dílna;Sokolská;366/1;60200;https://robotikabrno.cz/
Sdílená dílna na Moraváku;kurzy;sdílená dílna;Moravské náměstí;753/12;60200;https://www.skautskyinstitut.cz/sdilena-dilna-brno;;Sdílená dílna na Moraváku;kurzy;sdílená dílna;Moravské náměstí;753/12;60200;https://www.skautskyinstitut.cz/sdilena-dilna-brno
Eko Retro maringotky;kurzy;sdílená dílna;Pisárky;;60373;http://hikersbay.com/europe/czechrepublic/hotel/cz/eko-retro-maringotky-brno.html?lang=cs;;Eko Retro maringotky;kurzy;sdílená dílna;Pisárky;;60373;http://hikersbay.com/europe/czechrepublic/hotel/cz/eko-retro-maringotky-brno.html?lang=cs
Sdílené prostory na Moraváku;kurzy;sdílená dílna;Moravské náměstí;753/12;60200;https://www.skautskyinstitut.cz/rezervace-brno;;Sdílené prostory na Moraváku;kurzy;sdílená dílna;Moravské náměstí;753/12;60200;https://www.skautskyinstitut.cz/rezervace-brno
Ženský vzdělávací ústav Vesna;kurzy;vzdělávání;Údolní;10;;;;Ženský vzdělávací ústav Vesna;kurzy;vzdělávání;Údolní;10;;
Nadace ENVIOPTIMUM;kurzy;vzdělávání;Podbabská;283/5;62100;;;Nadace ENVIOPTIMUM;kurzy;vzdělávání;Podbabská;283/5;62100;
Bajkazyl;kurzy;vzdělávání;Dukelská třída;59a;61400;https://www.facebook.com/bjkzlbrno/about?locale=cs_CZ;;;;;;;;
BikeKitchen;kurzy;vzdělávání;Přízova;2/335;60200;https://bikekitchenbrno.cz/;;;;;;;;
Brno šije;kurzy;vzdělávání;Veveří;39/476;60200;http://www.brnosije.cz/;;;;;;;;
Fablab Brno;kurzy;vzdělávání;Purkyňova;127/649;61200;https://www.fablabbrno.cz/;;;;;;;;
Hnutí Brontosaurus;kurzy;vzdělávání;Hvězdová;10/306;60200;https://www.brontosaurus.cz/;;;;;;;;
Impact Hub;kurzy;vzdělávání;Cyrilská;7/508;60200;https://www.hubbrno.cz/;;;;;;;;
Institut Cirkulární Ekonomiky, z.ú.;kurzy;vzdělávání;Purkyňova;125/648;61200;https://incien.org/;;;;;;;;
Krejčovna;kurzy;vzdělávání;Boettingrova;3/3812;63600;https://www.krejcovna.cz/sluzby/kurzy-siti/;;;;;;;;
Marie Javorská - kurzy šití;kurzy;vzdělávání;Körnerova;7/455;60200;http://www.modedama.cz/kurzy-siti/krejcovstvi-marie-javorska/;;;;;;;;
Rezekvítek;kurzy;vzdělávání;Štolcova;14/465;61800;http://www.rezekvitek.cz/;;;;;;;;
Sdílené prostory na Moraváku;kurzy;sdílená dílna;Moravské náměstí;12/753;60200;https://www.skautskyinstitut.cz/rezervace-brno;;;;;;;;
Skautský institut v Brně;kurzy;vzdělávání;Moravské náměstí;12/753;60200;https://www.skautskyinstitut.cz/su-v-brne/;;;;;;;;
Sonnentor;kurzy;vzdělávání;Šilingrovo náměstí;7/343;60200;https://www.sonnentor.com/cs-cz;;;;;;;;
Středisko volného času Lužánky;kurzy;vzdělávání;Lidická;50/1880;60200;https://www.luzanky.cz/;;;;;;;;
Střední škola umění a designu a Vyšší odborná škola Brno;kurzy;vzdělávání;Husova;10/537;60200;https://www.ssudbrno.cz/cs/stredni-skola/obory/;;;;;;;;
Vyšší odborná škola textilní;kurzy;vzdělávání;Francouzská;101/427;60200;https://www.ssudbrno.cz/cs/vos-skola/obory/;;;;;;;;
YMCA;kurzy;vzdělávání;Kounicova;3;60200;http://www.ymcabrno.cz/;;;;;;;;
